URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
http://www.survivorsalliance.org.uk/,Rape/SA,UK,,,,,,,,
https://www.menandboyscoalition.org.uk/,Rape/SA,UK,,,,,,,,
https://www.the-shores.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,https://www.refreshyourcache.com/en/home/,same template as blue sky center
https://www.splitz.org/,Rape/SA,UK,Redirect,,,,,,,
https://www.wellbeingscotland.org/,Rape/SA,UK,,,,,,,,
http://survive-abuse.co.uk/,Rape/SA,UK,,,,,,,,
https://www.southmeadproject.org.uk/,Rape/SA,UK,,,,,,,,
https://www.savana.org.uk/,Rape/SA,UK,Redirect,,,,,,,
https://www.choicescounselling.co.uk/,Rape/SA,UK,,,,,,,,
https://www.starsdorset.org/,Rape/SA,UK,Redirect,,,,,,,
https://theyoutrust.org.uk/,Rape/SA,UK,Redirect+new tab,Write+new tab,,,,,,
https://avmksaass.org.uk/,Rape/SA,UK,,,,,,,,
https://www.momentumdevon.org.uk/,Rape/SA,UK,,,,,,,,
https://www.axiscounselling.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.saturncentre.org/,Rape/SA,UK,Redirect,,,,,,,
https://www.bsarcs.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://safelinksupport.co.uk/,Rape/SA,UK,,,,,,,https://safelinksupport.co.uk/protect-yourself/,
https://nottssvss.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,https://nottssvss.org.uk/hide-your-tracks/,
https://steppingstonesnorthwales.co.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.sunderlandcounselling.org.uk/,Rape/SA,UK,Write+new tab,Write+new tab,,,,,,
https://survivorsintransition.co.uk/,Rape/SA,UK,,,Redirect,esc,,,https://survivorsintransition.co.uk/discreet/,
https://www.survivorsmanchester.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://survivorswestyorkshire.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.breakthesilence.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.firstlight.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,covered by cookie notice
